searge,name,desc
p_146424_,pMean,
p_146425_,pDeviation,
p_146426_,pMin,
p_146427_,pMax,
p_216838_,pRandom,
p_216839_,pMean,
p_216840_,pDeviation,
p_216841_,pMin,
p_216842_,pMax,
p_216836_,pRandom,
p_26417_,pPos,
p_26418_,pSpeedModifier,
p_26419_,pCloseEnoughDist,
p_148209_,pTargetEntity,
p_148210_,pSpeedModifier,
p_148211_,pCloseEnoughDist,
p_26409_,pTarget,
p_26410_,pSpeedModifier,
p_26411_,pCloseEnoughDist,
p_26413_,pVectorPos,
p_26414_,pSpeedModifier,
p_26415_,pCloseEnoughDist,
p_83537_,pOther,
p_83538_,pFormattedName,
p_113368_,pMinecraft,
p_113370_,pPoseStack,
p_113371_,pBuffer,
p_113372_,pCamX,
p_113373_,pCamY,
p_113374_,pCamZ,
p_184238_,pSize,
p_13560_,pObject,
p_13561_,pIntKey,
p_13570_,pObject,
p_13553_,pSize,
p_199841_,pKeys,
p_199842_,pValues,
p_199843_,pById,
p_199844_,pNextId,
p_199845_,pSize,
p_13572_,pCapacity,
p_13568_,pKey,
p_144610_,pValue,
p_13574_,pObject,
p_13564_,pObject,
p_13565_,pStartIndex,
p_13558_,pValue,
p_13576_,pStartIndex,
p_13556_,pValue,
p_144608_,pValue,
p_208223_,pContext,
p_208221_,pMinValue,
p_208222_,pMaxValue,
p_208224_,pVisitor,
p_208227_,pArray,
p_208228_,pContextProvider,
p_26754_,pLevel,
p_26755_,pEntity,
p_45083_,pEnchantmentLevel,
p_45079_,pRarity,
p_45080_,pApplicableSlots,
p_45085_,pEnchantmentLevel,
p_107947_,pSprites,
p_107958_,pType,
p_107959_,pLevel,
p_107960_,pX,
p_107961_,pY,
p_107962_,pZ,
p_107963_,pXSpeed,
p_107964_,pYSpeed,
p_107965_,pZSpeed,
p_249346_,pName,
p_29589_,pTarget,
p_286260_,pContext,
p_286323_,pContext,
p_286520_,pJson,
p_286912_,pLootContextParams,
p_298375_,pPredicates,
p_286844_,pConditions,
p_301186_,pConditions,
p_254060_,pOutput,
p_254123_,pOutput,
p_254481_,pRequiredTables,
p_253798_,pSubProviders,
p_250278_,pPoseStack,
p_251678_,pBuffer,
p_249298_,pPackedLight,
p_251841_,pPackedOverlay,
p_250541_,pRed,
p_248890_,pGreen,
p_250527_,pBlue,
p_250536_,pAlpha,
p_251765_,pEntity,
p_250436_,pEntity,
p_249176_,pNetHeadYaw,
p_251814_,pHeadPitch,
p_248796_,pAgeInTicks,
p_251834_,pRoot,
p_250657_,pEntity,
p_250501_,pLimbSwing,
p_249554_,pLimbSwingAmount,
p_249527_,pAgeInTicks,
p_248774_,pNetHeadYaw,
p_250710_,pHeadPitch,
p_139139_,pPlayer,
p_139140_,pObjective,
p_139161_,pSource,
p_139162_,pObjective,
p_139163_,pValue,
p_139149_,pSource,
p_139150_,pBuilder,
p_139155_,pSource,
p_139156_,pObjective,
p_139157_,pAmount,
p_139142_,pDispatcher,
p_139152_,pSource,
p_139153_,pObjectives,
p_299972_,pEffect,
p_300885_,pPredicate,
p_300625_,pEffect,
p_114059_,pEntity,
p_184638_,pInput,
p_184639_,pInputMin,
p_184640_,pInputMax,
p_184641_,pOutputMin,
p_184642_,pOutputMax,
p_265754_,pNumber,
p_265543_,pMultiple,
p_144947_,pInput,
p_14006_,pX,
p_14007_,pY,
p_184644_,pValue,
p_14032_,pValue,
p_144852_,pInput,
p_144853_,pInputMin,
p_144854_,pInputMax,
p_144855_,pOuputMin,
p_144856_,pOutputMax,
p_14058_,pPos,
p_216272_,pRandom,
p_216273_,pMinimum,
p_216274_,pMaximum,
p_14186_,pNumber,
p_265088_,pNumber,
p_14198_,pInput,
p_14113_,pDelta,
p_14114_,pStart,
p_14115_,pEnd,
p_14140_,pDelta,
p_14141_,pStart,
p_14142_,pEnd,
p_216264_,pRandom,
p_216265_,pMinimum,
p_216266_,pMaximum,
p_144921_,pStart,
p_144922_,pEnd,
p_144923_,pDelta,
p_14099_,pAngle,
p_14046_,pValue,
p_14047_,pMin,
p_14048_,pMax,
p_184646_,pXDistance,
p_184647_,pYDistance,
p_216292_,pRandom,
p_216293_,pMean,
p_216294_,pDeviation,
p_14137_,pY,
p_14138_,pX,
p_216245_,pDelta,
p_216246_,pControlPoint1,
p_216247_,pControlPoint2,
p_216248_,pControlPoint3,
p_216249_,pControlPoint4,
p_14095_,pRotationToAdjust,
p_14096_,pActualRotation,
p_14097_,pMaxDifference,
p_14144_,pValue,
p_216288_,pRandom,
p_216289_,pMinInclusive,
p_216290_,pMaxInclusive,
p_14086_,pStart,
p_14087_,pEnd,
p_14088_,pDelta,
p_14157_,pInput,
p_14158_,pPeriod,
p_298397_,pDelta,
p_298459_,pStart,
p_300125_,pEnd,
p_14090_,pValue,
p_144945_,pValue,
p_14117_,pValue,
p_211590_,pXDistance,
p_211591_,pYDistance,
p_216251_,pInput,
p_216252_,pLowerBound,
p_216253_,pUpperBound,
p_216254_,pSteps,
p_14153_,pValue,
p_14092_,pNumerator,
p_14093_,pDenominator,
p_14009_,pValue,
p_14010_,pMin,
p_14011_,pMax,
p_14122_,pValue,
p_14123_,pLimit,
p_14124_,pStepSize,
p_216284_,pRandom,
p_216285_,pMinInclusive,
p_216286_,pMaxExclusive,
p_14041_,pValue,
p_14194_,pNumber,
p_14043_,pDividend,
p_14044_,pDivisor,
p_14050_,pMin,
p_14051_,pMax,
p_14052_,pIsTargetBeforeOrAt,
p_270245_,pDelta,
p_270597_,pStart,
p_270301_,pEnd,
p_14176_,pValue,
p_14180_,pDelta,
p_14181_,pStart,
p_14182_,pEnd,
p_216296_,pInput,
p_216297_,pLowerBound,
p_216298_,pUpperBound,
p_14200_,pNumber,
p_216268_,pRandom,
p_216269_,pMinimum,
p_216270_,pMaximum,
p_14034_,pX,
p_14035_,pY,
p_300696_,pValue,
p_298059_,pMin,
p_299237_,pMax,
p_144953_,pValue,
p_14168_,pValue,
p_211593_,pXDistance,
p_211594_,pYDistance,
p_211595_,pZDistance,
p_144955_,pInput,
p_14149_,pAngle,
p_14150_,pLimit,
p_14151_,pStepSize,
p_14184_,pInput,
p_144889_,pStart,
p_144890_,pEnd,
p_144891_,pBoundingBox,
p_14190_,pDelta,
p_14191_,pStart,
p_14192_,pEnd,
p_14188_,pNumber,
p_14110_,pNumerator,
p_14111_,pDenominator,
p_265060_,pNumber,
p_14155_,pValue,
p_14037_,pValue,
p_14038_,pMin,
p_14039_,pMax,
p_144942_,pValue,
p_144943_,pFactor,
p_299352_,pDelta,
p_301019_,pStart,
p_299027_,pEnd,
p_14135_,pValue,
p_14119_,pStart,
p_14120_,pEnd,
p_14108_,pValue,
p_14083_,pX,
p_14084_,pY,
p_14170_,pHue,
p_14171_,pSaturation,
p_14172_,pValue,
p_184632_,pInput,
p_184633_,pInputMin,
p_184634_,pInputMax,
p_184635_,pOutputMin,
p_184636_,pOutputMax,
p_14164_,pValue,
p_14131_,pX,
p_14132_,pY,
p_14133_,pZ,
p_184656_,pDelta,
p_184657_,pStart,
p_184658_,pEnd,
p_14160_,pR,
p_14161_,pG,
p_14162_,pB,
p_14060_,pValue,
p_14061_,pDefaultValue,
p_184649_,pXDistance,
p_184650_,pYDistance,
p_184651_,pZDistance,
p_144915_,pInput,
p_144916_,pInputMin,
p_144917_,pInputMax,
p_144918_,pOutputMin,
p_144919_,pOutputMax,
p_184653_,pX,
p_184654_,pY,
p_14126_,pValue,
p_14206_,pX,
p_184629_,pValue,
p_184630_,pFactor,
p_14178_,pValue,
p_14174_,pValue,
p_14101_,pX,
p_14102_,pY,
p_216262_,pRandom,
p_14166_,pValue,
p_14208_,pValue,
p_14146_,pStart,
p_14147_,pEnd,
p_14020_,pDelta1,
p_14021_,pDelta2,
p_14022_,pDelta3,
p_14023_,pStart1,
p_14024_,pEnd1,
p_14025_,pStart2,
p_14026_,pEnd2,
p_14027_,pStart3,
p_14028_,pEnd3,
p_14029_,pStart4,
p_14030_,pEnd4,
p_14013_,pDelta1,
p_14014_,pDelta2,
p_14015_,pStart1,
p_14016_,pEnd1,
p_14017_,pStart2,
p_14018_,pEnd2,
p_254097_,pMessage,
p_253761_,pOnPress,
p_254259_,pWidth,
p_254166_,pX,
p_253872_,pY,
p_254522_,pWidth,
p_253985_,pHeight,
p_259609_,pTooltip,
p_254538_,pX,
p_254216_,pY,
p_253638_,pCreateNarration,
p_253727_,pWidth,
p_254457_,pHeight,
p_297345_,pX,
p_300837_,pZ,
p_298477_,pSearchAllChunks,
p_299048_,pAction,
p_300776_,pOther,
p_148912_,pLevel,
p_148913_,pOtherParent,
p_28516_,pUuid,
p_28456_,pId,
p_28611_,pSitting,
p_28617_,pIsInterested,
p_28548_,pDamageSource,
p_28514_,pItemEntity,
p_28540_,pItemStack,
p_28465_,pVariant,
p_28518_,pCompound,
p_28578_,pStack,
p_28451_,pEntityType,
p_28452_,pLevel,
p_28598_,pStack,
p_218176_,pFox,
p_218177_,pLevel,
p_218178_,pSpawnType,
p_218179_,pPos,
p_218180_,pRandom,
p_301360_,pEntity,
p_299584_,pDimensions,
p_299082_,pScale,
p_28594_,pStack,
p_148908_,pPlayer,
p_148909_,pHand,
p_148910_,pStack,
p_28530_,pUuid,
p_28487_,pLevel,
p_28488_,pDifficulty,
p_28489_,pReason,
p_28490_,pSpawnData,
p_28491_,pDataTag,
p_28606_,pStack,
p_28613_,pIsPouncing,
p_28493_,pCompound,
p_28621_,pPartialTick,
p_28472_,pFox,
p_28473_,pLivingEntity,
p_28627_,pSleeping,
p_28500_,pPose,
p_28501_,pSize,
p_28552_,pItemstack,
p_28615_,pIsCrouching,
p_28619_,pFaceplanted,
p_28533_,pFlagId,
p_28534_,pValue,
p_28609_,pFlagId,
p_28574_,pLivingEntity,
p_28545_,pDistance,
p_28546_,pDamageMultiplier,
p_218171_,pRandom,
p_218172_,pDifficulty,
p_28625_,pPartialTick,
p_28602_,pStack,
p_28536_,pDamageSource,
p_28623_,pDefending,
p_28481_,pPlayer,
p_28482_,pChild,
p_37907_,pMob,
p_37908_,pHostileRadiusSquare,
p_279472_,pBoundingBox,
p_279193_,pWorldGenLevel,
p_279136_,pPos,
p_273644_,pLevel,
p_272615_,pStructureManager,
p_273655_,pChunkGenerator,
p_272939_,pRandom,
p_273179_,pBoundingBox,
p_273334_,pChunkPos,
p_273575_,pPieces,
p_205816_,pHolder,
p_205814_,pContents,
p_191383_,pBlock,
p_191385_,pState,
p_225907_,pRandom,
p_225908_,pPos,
p_16853_,pOutputSchema,
p_16854_,pChangesType,
p_188406_,pY,
p_188403_,pFluidLevel,
p_188404_,pFluidType,
p_228455_,pGenDepth,
p_228456_,pBox,
p_228457_,pOrientation,
p_228473_,pPieces,
p_228474_,pX,
p_228475_,pY,
p_228476_,pZ,
p_228477_,pOrientation,
p_228478_,pGenDepth,
p_228469_,pPiece,
p_228470_,pPieces,
p_228471_,pRandom,
p_228459_,pTag,
p_228461_,pLevel,
p_228462_,pStructureManager,
p_228463_,pGenerator,
p_228464_,pRandom,
p_228465_,pBox,
p_228466_,pChunkPos,
p_228467_,pPos,
p_235956_,pBuffer,
p_32886_,pGuardian,
p_117494_,pPoseStack,
p_117495_,pBuffer,
p_117496_,pPackedLight,
p_117497_,pLivingEntity,
p_117498_,pLimbSwing,
p_117499_,pLimbSwingAmount,
p_117500_,pPartialTicks,
p_117501_,pAgeInTicks,
p_117502_,pNetHeadYaw,
p_117503_,pHeadPitch,
p_234871_,pRenderer,
p_234872_,pBlockRenderer,
p_234873_,pItemRenderer,
p_176795_,pGroupName,
p_126266_,pId,
p_251938_,pResult,
p_252115_,pIngredient,
p_249421_,pCategory,
p_251247_,pResult,
p_250383_,pExperience,
p_250476_,pCookingTime,
p_249047_,pResult,
p_176792_,pName,
p_297700_,pCriterion,
p_248930_,pIngredient,
p_250319_,pCategory,
p_250377_,pResult,
p_252329_,pExperience,
p_250482_,pCookingTime,
p_251345_,pCategory,
p_251607_,pBookCategory,
p_252112_,pResult,
p_250362_,pIngredient,
p_251204_,pExperience,
p_250189_,pCookingTime,
p_249915_,pSerializer,
p_249223_,pIngredient,
p_251240_,pCategory,
p_249551_,pResult,
p_249452_,pExperience,
p_250496_,pCookingTime,
p_250999_,pIngredient,
p_248815_,pCategory,
p_249766_,pResult,
p_251320_,pExperience,
p_248693_,pCookingTime,
p_250921_,pSerializer,
p_249393_,pIngredient,
p_249372_,pCategory,
p_251516_,pResult,
p_252321_,pExperience,
p_251916_,pCookingTime,
p_299448_,pRecipeOutput,
p_126264_,pId,
p_251261_,pSerializer,
p_249582_,pResult,
p_235619_,pBuffer,
p_235613_,pTemplate,
p_235614_,pJson,
p_235616_,pTemplate,
p_235617_,pBuffer,
p_235605_,pArgument,
p_87056_,pAction,
p_87046_,pTempFile,
p_87047_,pDownloadStatus,
p_87048_,pWorldDownload,
p_272736_,pLevel,
p_273092_,pBlockSetter,
p_273449_,pRandom,
p_272659_,pFreeTreeHeight,
p_273743_,pPos,
p_273027_,pConfig,
p_273558_,pPropertySetter,
p_273712_,pDirection,
p_272980_,pSecondBranchStartOffsetFromTop,
p_272719_,pDoubleBranch,
p_273496_,pCurrentPos,
p_272827_,pLevel,
p_272650_,pBlockSetter,
p_272993_,pRandom,
p_272990_,pFreeTreeHeight,
p_273471_,pPos,
p_273355_,pConfig,
p_139970_,pValues,
p_139973_,pGraphics,
p_139963_,pServer,
p_119560_,pModel,
p_119561_,pWeight,
p_37424_,pCompound,
p_37414_,pLevel,
p_37415_,pX,
p_37416_,pY,
p_37417_,pZ,
p_37426_,pCompound,
p_37411_,pEntityType,
p_37412_,pLevel,
p_37422_,pLiving,
p_37419_,pLevel,
p_37420_,pShooter,
p_146352_,pTask,
p_146346_,pNamePrefix,
p_110359_,pWriteColor,
p_110360_,pWriteDepth,
p_133680_,pLevel,
p_133681_,pPos,
p_179496_,pEntity,
p_179497_,pGameTime,
p_133689_,pLevel,
p_133690_,pRaids,
p_133723_,pLevel,
p_133724_,pPos,
p_237888_,pLevel,
p_237889_,pGameEvent,
p_237890_,pPos,
p_133704_,pLevel,
p_133705_,pMob,
p_133706_,pPath,
p_133707_,pMaxDistanceToWaypoint,
p_133698_,pBee,
p_133700_,pLevel,
p_133701_,pMob,
p_133702_,pGoalSelector,
p_179508_,pLevel,
p_179509_,pGameEventListener,
p_133675_,pLevel,
p_133720_,pLevel,
p_133721_,pPos,
p_179493_,pLevel,
p_179494_,pObject,
p_179511_,pLevel,
p_179512_,pPos,
p_179513_,pBlockState,
p_179514_,pHiveBlockEntity,
p_133683_,pLevel,
p_133684_,pPos,
p_133685_,pText,
p_133686_,pColor,
p_133687_,pLifetimeMillis,
p_133677_,pLevel,
p_133678_,pChunkPos,
p_133696_,pLivingEntity,
p_133709_,pLevel,
p_133710_,pPos,
p_133717_,pLevel,
p_133718_,pPos,
p_133712_,pLevel,
p_133713_,pStructureStart,
p_230208_,pContext,
p_230209_,pTag,
p_230196_,pStructureTemplateManager,
p_230197_,pTemplateName,
p_230198_,pTemplatePosition,
p_230199_,pRotation,
p_230200_,pMirror,
p_230205_,pMirror,
p_230206_,pRotation,
p_230202_,pStructureTemplateManager,
p_230203_,pTag,
p_230211_,pName,
p_230213_,pName,
p_230214_,pPos,
p_230215_,pLevel,
p_230216_,pRandom,
p_230217_,pBox,
p_230191_,pStructureTemplateManager,
p_230192_,pTemplateName,
p_230193_,pTemplatePosition,
p_230194_,pRotation,
p_301295_,pPlayer,
p_299626_,pItem,
p_299252_,pEntity,
p_221323_,pPlayer,
p_221324_,pStack,
p_221325_,pContext,
p_286865_,pPlayer,
p_297283_,pItem,
p_300033_,pEntity,
p_299013_,pPlayer,
p_299788_,pItem,
p_299814_,pEntity,
p_161013_,pTargetStates,
p_161014_,pSize,
p_161008_,pTarget,
p_161009_,pState,
p_161010_,pSize,
p_161011_,pDiscardChanceOnAirExposure,
p_67843_,pTarget,
p_67844_,pState,
p_67845_,pSize,
p_161022_,pTarget,
p_161023_,pState,
p_89439_,pX,
p_89440_,pY,
p_89441_,pMessage,
p_89442_,pImage,
p_89443_,pOnPress,
p_282595_,pGuiGraphics,
p_282741_,pMouseX,
p_283560_,pMouseY,
p_281923_,pPartialTick,
p_165867_,pLootContext,
p_146208_,pIndex,
p_220115_,pStack,
p_220116_,pLevel,
p_220117_,pTooltipComponents,
p_220118_,pIsAdvanced,
p_220127_,pLevel,
p_220128_,pPlayer,
p_220129_,pInstrument,
p_220133_,pStack,
p_220131_,pStack,
p_220135_,pStack,
p_220111_,pStack,
p_220112_,pInstrumentTag,
p_220113_,pRandom,
p_220108_,pItem,
p_220109_,pInstrument,
p_220120_,pStack,
p_220121_,pSoundVariantId,
p_220099_,pProperties,
p_220100_,pInstruments,
p_220123_,pLevel,
p_220124_,pPlayer,
p_220125_,pUsedHand,
p_298019_,pProfile,
p_118812_,pTextureManager,
p_299617_,pRoot,
p_118814_,pSessionService,
p_299732_,pExecutor,
p_298661_,pProfile,
p_300071_,pProfile,
p_299268_,pProfile,
p_298597_,pTextureInfo,
p_298295_,pProfile,
p_61311_,pName,
p_123160_,pOther,
p_123150_,pX,
p_123151_,pY,
p_123152_,pZ,
p_123154_,pTag,
p_26884_,pDistance,
p_148351_,pIsCombat,
p_26889_,pCustomPredicate,
p_26886_,pAttacker,
p_26887_,pTarget,
p_31006_,pDamageSource,
p_218823_,pRandom,
p_30994_,pEntityType,
p_30995_,pLevel,
p_31001_,pPlayer,
p_31002_,pHand,
p_149561_,pLevel,
p_149562_,pOtherParent,
p_102001_,pEntity,
p_102002_,pLimbSwing,
p_102003_,pLimbSwingAmount,
p_102004_,pAgeInTicks,
p_102005_,pNetHeadYaw,
p_102006_,pHeadPitch,
p_170337_,pRoot,
p_101999_,pEntity,
p_226297_,pRandom,
p_226298_,pContext,
p_161932_,pMinInclusive,
p_161933_,pMaxInclusive,
p_161934_,pInner,
p_250817_,pFrameSize,
p_249792_,pWidth,
p_252353_,pHeight,
p_250947_,pMetadata,
p_250374_,pFrame,
p_250934_,pX,
p_249573_,pY,
p_248895_,pX,
p_250245_,pY,
p_250458_,pFrameX,
p_251337_,pFrameY,
p_248825_,pAtlasData,
p_248864_,pMipLevel,
p_252315_,pX,
p_248634_,pY,
p_249787_,pName,
p_251031_,pFrameSize,
p_252131_,pOriginalImage,
p_299427_,pMetadata,
p_61792_,pName,
p_166184_,pRenderCall,
p_243267_,pOnSuccessOrFailure,
p_243289_,pExceptionalPacketSupplier,
p_42836_,pProperties,
p_42838_,pStack,
p_42839_,pLevel,
p_42840_,pTooltip,
p_42841_,pFlag,
p_42843_,pLevel,
p_42844_,pPlayer,
p_42845_,pHand,
p_33344_,pCompound,
p_33328_,pEntity,
p_33335_,pId,
p_33337_,pWave,
p_33338_,pUnusedFalse,
p_33359_,pDamageSource,
p_33350_,pPos,
p_33351_,pBlock,
p_33353_,pCompound,
p_33325_,pEntityType,
p_33326_,pLevel,
p_300574_,pEntity,
p_297627_,pDimensions,
p_297213_,pScale,
p_33342_,pLevel,
p_149755_,pEntity,
p_33340_,pEntity,
p_33361_,pEntity,
p_18786_,pPriority,
p_18787_,pTask,
p_256286_,pContext,
p_203883_,pRegistry,
p_203884_,pLocation,
p_207648_,pRegistry,
p_203878_,pRegistry,
p_207646_,pRegistry,
p_203887_,pRegistry,
p_158219_,pEdge,
p_158220_,pPointingUp,
p_250327_,pPackPath,
p_100050_,pPath,
p_252119_,pPackPath,
p_19242_,pState,
p_19243_,pLevel,
p_19244_,pPos,
p_253620_,pHandler,
p_253690_,pBuffer,
p_254010_,pBuffer,
p_59138_,pAuto,
p_155383_,pTag,
p_187491_,pTag,
p_59136_,pPowered,
p_155380_,pPos,
p_155381_,pBlockState,
p_265215_,pFirst,
p_265040_,pSecond,
p_265461_,pFirst,
p_265553_,pSecond,
p_26638_,pLevel,
p_26639_,pEntity,
p_176019_,pVariantName,
p_45714_,pState,
p_45715_,pBlock,
p_45716_,pPos,
p_45717_,pCollisionContext,
p_45712_,pShapeGetter,
p_255676_,pRegistryAccess,
p_255900_,pOriginal,
p_256446_,pKey,
p_256394_,pLifecycle,
p_256638_,pBootstrap,
p_255625_,pOwner,
p_256261_,pKey,
p_256010_,pBootstrap,
p_256400_,pRegistryAccess,
p_256112_,pRegistryAccess,
p_45004_,pRarity,
p_45005_,pCategory,
p_45006_,pApplicableSlots,
p_45009_,pEnchantmentLevel,
p_45011_,pEnchantmentLevel,
p_255981_,pProvider,
p_256060_,pOutput,
p_255621_,pProvider,
p_193916_,pKey,
p_193917_,pName,
p_281805_,pGuiGraphics,
p_281298_,pIndex,
p_282357_,pTop,
p_281373_,pLeft,
p_283433_,pWidth,
p_281932_,pHeight,
p_282224_,pMouseX,
p_282053_,pMouseY,
p_282605_,pHovering,
p_281432_,pPartialTick,
p_27205_,pSectionPos,
p_27206_,pLevel,
p_27210_,pSectionPos,
p_27208_,pPos,
p_251426_,pGenerateStructures,
p_251744_,pGenerateBonusChest,
p_261572_,pSeed,
p_251567_,pSeed,
p_250743_,pGenerateStructures,
p_250454_,pGenerateBonusChest,
p_262144_,pSeed,
p_100370_,pVisible,
p_100291_,pCodePoint,
p_100292_,pModifiers,
p_283634_,pGuiGraphics,
p_283327_,pLeftPos,
p_282027_,pTopPos,
p_283514_,pPartialTick,
p_281740_,pGuiGraphics,
p_281520_,pRenderX,
p_282050_,pRenderY,
p_282836_,pMouseX,
p_282758_,pMouseY,
p_100383_,pResetPageNumber,
p_100294_,pMouseX,
p_100295_,pMouseY,
p_100296_,pButton,
p_170046_,pNarrationElementOutput,
p_299607_,pRecipe,
p_100317_,pSlots,
p_100310_,pWidth,
p_100311_,pHeight,
p_100312_,pMinecraft,
p_100313_,pWidthTooNarrow,
p_100314_,pMenu,
p_181402_,pWidth,
p_181403_,pImageWidth,
p_100306_,pKeyCode,
p_100307_,pScanCode,
p_100308_,pModifiers,
p_265089_,pFocused,
p_100353_,pMouseX,
p_100354_,pMouseY,
p_100338_,pIngredients,
p_100339_,pSlot,
p_100340_,pMaxAmount,
p_100341_,pY,
p_100342_,pX,
p_100356_,pKeyCode,
p_100357_,pScanCode,
p_100358_,pModifiers,
p_282776_,pGuiGraphics,
p_282886_,pX,
p_281571_,pY,
p_282948_,pMouseX,
p_283050_,pMouseY,
p_100298_,pMouseX,
p_100299_,pMouseY,
p_100300_,pX,
p_100301_,pY,
p_100302_,pWidth,
p_100303_,pHeight,
p_283597_,pGuiGraphics,
p_282668_,pMouseX,
p_283506_,pMouseY,
p_282813_,pPartialTick,
p_100344_,pRecipes,
p_100336_,pText,
p_100315_,pSlot,
p_234937_,pSeed,
p_234938_,pTicks,
p_234933_,pCompassTarget,
p_234940_,pEntity,
p_234960_,pStack,
p_234961_,pLevel,
p_234962_,pEntity,
p_234963_,pSeed,
p_234949_,pEntity,
p_234950_,pPos,
p_234952_,pEntity,
p_234953_,pPos,
p_234955_,pStack,
p_234956_,pLevel,
p_234957_,pSeed,
p_234958_,pEntity,
p_234946_,pEntity,
p_234947_,pLevel,
p_234935_,pValue,
p_234942_,pEntity,
p_234943_,pTicks,
p_234944_,pPos,
p_178287_,pPredicate,
p_178292_,pPredicate,
p_125855_,pValue,
p_42822_,pProperties,
p_42824_,pLevel,
p_42825_,pPlayer,
p_42826_,pHand,
p_120528_,pInput,
p_120522_,pTutorial,
p_120525_,pVelocityX,
p_120526_,pVelocityY,
p_109002_,pXFace,
p_109003_,pYFace,
p_109004_,pZFace,
p_117045_,pRenderer,
p_117058_,pPoseStack,
p_117059_,pBuffer,
p_117060_,pPackedLight,
p_117061_,pLivingEntity,
p_117062_,pLimbSwing,
p_117063_,pLimbSwingAmount,
p_117064_,pPartialTicks,
p_117065_,pAgeInTicks,
p_117066_,pNetHeadYaw,
p_117067_,pHeadPitch,
p_157673_,pEntity,
p_157674_,pSection,
p_157675_,pCurrentSection,
p_157678_,pReason,
p_248563_,pServerProperties,
p_251359_,pLevelStorage,
p_249093_,pSafeMode,
p_251069_,pPackRepository,
p_195489_,pLevelStorage,
p_195490_,pDataFixer,
p_195491_,pEraseCache,
p_195492_,pUpgradeWorld,
p_250443_,pDimesions,
p_270192_,pPath,
p_129699_,pArgs,
p_89795_,pTemplates,
p_89797_,pMouseX,
p_89798_,pMouseY,
p_89799_,pButton,
p_89807_,pSelected,
p_228556_,pRotation,
p_228558_,pContext,
p_228559_,pTag,
p_228545_,pStructureManager,
p_228546_,pTag,
p_228561_,pName,
p_228562_,pPos,
